,baseline_weights,tuned_weights
precision@5,0.23333333333333336,0.7000000000000001
recall@5,0.012052016849586088,0.03340789231933985
ndcg@5,0.22420620932836885,0.7000365419831599
precision@10,0.2125,0.6375000000000001
recall@10,0.021728671937481247,0.06382771102386392
ndcg@10,0.21287045706423027,0.6573310490605005
