model,precision@5,recall@5,ndcg@5,precision@10,recall@10,ndcg@10
popularity,0.7166666666666667,0.030491900377628205,0.7144195145767794,0.7458333333333332,0.07354023617435214,0.7364588586272629
tfidf,0.35000000000000003,0.017101217367604688,0.3502974724359679,0.325,0.045457352843428174,0.33500178432483035
hybrid_baseline,0.23333333333333336,0.012052016849586088,0.22420620932836885,0.2125,0.021728671937481247,0.21287045706423027
sbert,0.3333333333333333,0.025004981552386948,0.32140630475941717,0.33749999999999997,0.05339296136179817,0.3301166913199499
