w_content,w_semantic,w_sentiment,w_rating_quality,w_agreement,precision@5,recall@5,ndcg@5,precision@10,recall@10,ndcg@10
0.05,0.05,0.05,0.8,0.05,0.7000000000000001,0.03340789231933985,0.7000365419831599,0.6375000000000001,0.06382771102386392,0.6573310490605005
0.05,0.05,0.05,0.75,0.1,0.6749999999999999,0.037143514133004735,0.6682656260468528,0.6125,0.06297006809369975,0.627826607681437
0.05,0.05,0.05,0.7000000000000001,0.15000000000000002,0.65,0.036061264080463444,0.6480477695836726,0.5666666666666668,0.05771058912512315,0.591048869974726
0.05,0.1,0.05,0.75,0.05,0.625,0.030417067617527604,0.6359921153627746,0.5625,0.057668072793352926,0.5891431140539963
0.05,0.05,0.1,0.75,0.05,0.6166666666666667,0.029575742389982368,0.6326267912610508,0.5291666666666667,0.05426250427012233,0.5665446805871514
0.05,0.05,0.05,0.65,0.2,0.6166666666666667,0.0347011280689343,0.6192818243964335,0.5375,0.05627898422404087,0.5638034801016438
0.05,0.1,0.05,0.7000000000000001,0.1,0.6166666666666666,0.03489117231141572,0.6148452996085311,0.5166666666666666,0.05362946431317247,0.5432293734745904
0.05,0.05,0.05,0.6000000000000001,0.25,0.5833333333333334,0.028378145381321784,0.5921071863021566,0.5041666666666668,0.05345498919925711,0.5354229443106201
0.1,0.05,0.05,0.75,0.05,0.5750000000000001,0.028075792220443884,0.5784781058301937,0.5083333333333333,0.052536231971587556,0.5326471114273345
0.05,0.15000000000000002,0.05,0.7000000000000001,0.05,0.5666666666666668,0.02807066648125554,0.5856606517060549,0.4833333333333334,0.049969617120208476,0.520409697271978
0.05,0.05,0.05,0.55,0.30000000000000004,0.5499999999999999,0.027006544884663957,0.5618921754170708,0.4916666666666667,0.05238278466610479,0.5173818465450198
0.05,0.1,0.05,0.65,0.15000000000000002,0.5416666666666666,0.02696899642828064,0.5646560868877579,0.4791666666666667,0.04933794673940827,0.5127075258040416
0.05,0.05,0.1,0.7000000000000001,0.1,0.5666666666666668,0.02642683919295773,0.5808054242029151,0.4708333333333334,0.049151036658808524,0.5105833191779471
0.1,0.1,0.05,0.7000000000000001,0.05,0.5083333333333333,0.02551421659826046,0.5309510221648451,0.4625000000000001,0.04390586077358236,0.4933328780228768
0.05,0.05,0.05,0.5,0.35000000000000003,0.5166666666666666,0.02568877314864071,0.5334789312952634,0.4666666666666666,0.04894978373057224,0.49305726684509255
0.05,0.1,0.1,0.7000000000000001,0.05,0.5166666666666667,0.02436089433597843,0.5501057089527869,0.4458333333333333,0.04643637408622122,0.48862512755477977
0.05,0.1,0.05,0.6000000000000001,0.2,0.5,0.025336821502307982,0.5267150976754708,0.4583333333333333,0.047390307615738154,0.48811464340216104
0.1,0.05,0.05,0.7000000000000001,0.1,0.525,0.02597566600822269,0.5333698753164932,0.4583333333333333,0.048258686426949894,0.486874980627017
0.05,0.05,0.1,0.65,0.15000000000000002,0.525,0.024605649578552064,0.5455929444195742,0.4375,0.046339012721641926,0.4795455139790285
0.05,0.15000000000000002,0.05,0.65,0.1,0.4833333333333334,0.024468839626003703,0.516291588251104,0.4291666666666667,0.0452042455354473,0.46834214605132574
0.1,0.05,0.1,0.7000000000000001,0.05,0.4833333333333334,0.023813615366234886,0.5039186254656837,0.4375,0.04143326474927276,0.4665872700220853
0.05,0.2,0.05,0.65,0.05,0.4583333333333333,0.023617197094283848,0.493604172020087,0.4375,0.04590322542564063,0.4662969991065615
0.15000000000000002,0.05,0.05,0.7000000000000001,0.05,0.47500000000000003,0.023855686080956867,0.488020585524412,0.4458333333333333,0.04212451887180274,0.4624630213468977
